abbrev_state,average_rating_four_dollar,average_rating_one_dollar,average_rating_three_dollar,average_rating_two_dollar,average_review_count_four_dollar,average_review_count_one_dollar,average_review_count_three_dollar,average_review_count_two_dollar,city_median_household_income,four_dollar,one_dollar,three_dollar,two_dollar,city
AL,3.5,3.650943396226415,3.40625,3.733050847457627,14.666666666666666,6.471698113207547,8.125,9.669491525423728,36241.0,3,53,32,236,Birmingham
NC,3.125,3.675675675675676,3.370967741935484,3.7200520833333335,15.25,30.972972972972972,28.612903225806452,38.502604166666664,61017.0,4,37,31,384,Charlotte
AK,2.5,3.5625,3.810810810810811,3.7839506172839505,4.25,7.75,12.567567567567568,15.012345679012345,85634.0,4,24,37,162,Anchorage
AZ,0.0,4.0675675675675675,3.847826086956522,4.036613272311213,0.0,102.10810810810811,112.30434782608695,122.38901601830663,52062.0,0,37,23,437,Phoenix
AR,2.3,3.5943396226415096,3.53125,3.63,8.2,4.60377358490566,8.4375,5.993333333333333,45605.0,5,53,16,150,Little Rock
CA,3.5,4.1075949367088604,4.2375,4.222222222222222,266.6666666666667,351.0886075949367,346.125,383.968992248062,54432.0,3,79,40,387,Los Angeles
CO,3.5,4.060975609756097,3.909090909090909,3.9571428571428573,44.0,76.6829268292683,76.66666666666667,86.53809523809524,61105.0,1,41,33,420,Denver
CT,4.75,3.640625,3.84375,3.642857142857143,6.0,7.34375,11.1875,11.23015873015873,42113.0,2,32,16,126,Bridgeport
NY,3.8333333333333335,4.155339805825243,3.888059701492537,4.086683417085427,120.0,235.23300970873785,238.32835820895522,223.92964824120602,58856.0,3,103,67,398,New York
NJ,3.5,3.3680555555555554,3.6714285714285713,3.52258064516129,11.0,19.444444444444443,67.82857142857142,39.096774193548384,31100.0,3,72,35,310,Newark
PA,5.0,3.797752808988764,3.864406779661017,3.949877750611247,6.5,57.98876404494382,62.83050847457627,59.447432762836186,41449.0,2,89,59,409,Philadelphia
DE,2.5,3.244186046511628,3.75,3.5059171597633134,5.0,8.255813953488373,14.333333333333334,11.928994082840237,36435.0,2,43,30,169,Wilmington
MD,2.9,3.9473684210526314,3.7954545454545454,3.6304945054945055,39.2,33.80701754385965,31.454545454545453,36.40384615384615,47350.0,10,57,44,364,Baltimore
DC,0.0,0.0,0.0,3.5,0.0,0.0,0.0,21.0,0.0,0,0,0,1,0
WA,0.0,3.8902439024390243,3.9693877551020407,4.028915662650602,0.0,129.21951219512195,148.51020408163265,125.77590361445783,83476.0,0,82,49,415,Seattle
FL,3.5,3.8157894736842106,3.7903225806451615,3.8375,14.333333333333334,20.57894736842105,18.967741935483872,25.886111111111113,51298.0,3,76,31,360,Jacksonville
GA,3.5,3.8955223880597014,3.8793103448275863,3.855889724310777,40.5,72.28358208955224,58.689655172413794,76.7218045112782,53843.0,2,67,29,399,Atlanta
HI,4.166666666666667,4.1909090909090905,4.4,4.1474201474201475,59.333333333333336,84.2909090909091,117.26666666666667,103.94103194103194,69964.0,3,55,30,407,Honolulu
ID,2.5,3.5671641791044775,3.966666666666667,3.904471544715447,4.0,10.746268656716419,10.333333333333334,14.378048780487806,55199.0,3,67,30,246,Boise
NV,3.7,4.173611111111111,4.016666666666667,4.093112244897959,142.8,173.65277777777777,218.36666666666667,165.6454081632653,51115.0,5,72,30,392,Las Vegas
IL,4.0,3.9682539682539684,3.9814814814814814,4.011811023622047,91.0,167.8095238095238,181.42592592592592,172.49343832020998,53006.0,1,63,54,381,Chicago
IN,3.5625,3.6481481481481484,3.6444444444444444,3.7,13.625,19.419753086419753,22.91111111111111,25.28051948051948,44615.0,8,81,45,385,Indianapolis
IA,2.9375,3.9761904761904763,3.7439024390243905,3.6937799043062203,5.375,5.714285714285714,6.2926829268292686,7.392344497607655,49203.0,8,42,41,209,Des Moines
KS,2.0,3.5774647887323945,3.5142857142857142,3.741590214067278,14.0,11.605633802816902,13.857142857142858,15.954128440366972,49202.0,1,71,35,327,Wichita
KY,0.0,3.671641791044776,3.8,3.7984189723320156,0.0,11.402985074626866,17.666666666666668,15.363636363636363,38005.0,0,67,30,253,Louisville
LA,4.125,3.9237288135593222,3.7142857142857144,3.914565826330532,23.25,19.372881355932204,23.261904761904763,31.610644257703083,38681.0,4,59,42,357,New Orleans
ME,4.0,3.6538461538461537,3.84,4.208333333333333,14.0,10.846153846153847,17.08,14.958333333333334,51851.0,1,26,25,120,Portland
VA,3.5,3.725,3.7162162162162162,3.7676240208877285,17.0,20.216666666666665,18.486486486486488,32.44125326370757,71117.0,2,60,37,383,Virginia Beach
MA,3.6666666666666665,3.8,3.9130434782608696,3.8902439024390243,81.33333333333333,87.1125,120.23188405797102,104.87533875338754,63621.0,3,80,69,369,Boston
MI,3.2,3.4464285714285716,3.548780487804878,3.68,6.8,12.571428571428571,23.902439024390244,18.73090909090909,28099.0,5,84,41,275,Detroit
MN,3.625,3.3793103448275863,3.875,3.6556962025316455,20.75,30.29310344827586,31.25,31.959493670886076,56255.0,4,58,44,395,Minneapolis
MS,4.0,4.0,3.6666666666666665,3.463157894736842,4.666666666666667,4.6,7.888888888888889,5.821052631578947,39724.0,6,15,18,95,Jackson
MO,2.75,3.2954545454545454,3.4047619047619047,3.855721393034826,10.5,19.727272727272727,28.80952380952381,25.139303482587064,51235.0,2,22,21,201,Kansas City
MT,1.0,3.0,3.4285714285714284,3.7948717948717947,2.0,5.1,11.285714285714286,5.17948717948718,54222.0,1,10,7,39,Billings
NE,3.0,3.5076923076923077,3.6973684210526314,3.733739837398374,4.6,9.184615384615384,11.894736842105264,13.666666666666666,52672.0,5,65,38,246,Omaha
NH,2.6666666666666665,3.5,3.7,3.8045454545454547,4.666666666666667,7.222222222222222,10.2,10.790909090909091,54664.0,3,27,10,110,Manchester
NM,3.375,3.706896551724138,3.524390243902439,3.7542662116040955,10.0,14.137931034482758,20.097560975609756,19.72354948805461,50522.0,4,87,41,293,Albuquerque
SC,3.7222222222222223,4.02542372881356,3.9705882352941178,3.923357664233577,18.444444444444443,11.0,17.41176470588235,19.419708029197082,61467.0,9,59,34,274,Charleston
ND,3.0,3.35,3.25,3.641304347826087,5.0,3.8,5.625,5.021739130434782,52699.0,1,10,8,46,Fargo
OH,3.0,3.74,3.7444444444444445,3.7845303867403315,19.333333333333332,20.8,24.866666666666667,27.116022099447513,49602.0,3,50,45,362,Columbus
OK,2.8461538461538463,3.7578125,3.891891891891892,3.6233766233766236,9.615384615384615,13.796875,12.027027027027026,17.2012987012987,52915.0,13,64,37,308,Oklahoma City
OR,0.0,3.8043478260869565,3.8823529411764706,4.110824742268041,0.0,88.67391304347827,78.3529411764706,90.00515463917526,62127.0,0,46,17,388,Portland
RI,2.75,3.914473684210526,3.8035714285714284,3.9864341085271318,15.5,13.93421052631579,18.035714285714285,19.968992248062015,40335.0,2,76,28,258,Providence
SD,4.0,3.15,2.8333333333333335,3.7181818181818183,15.0,3.7,2.6666666666666665,5.072727272727272,56867.0,1,10,9,55,Sioux Falls
TN,3.8333333333333335,3.75,3.727272727272727,3.7886178861788617,29.666666666666668,21.295454545454547,29.054545454545455,33.28184281842818,54310.0,3,44,55,369,Nashville-Davidson
TX,4.25,3.816666666666667,4.009803921568627,3.8973684210526316,46.5,83.56666666666666,79.82352941176471,88.98684210526316,47793.0,2,60,51,380,Houston
WV,2.75,4.3125,3.8333333333333335,3.4833333333333334,3.5,3.125,9.0,5.6,45187.0,2,8,3,30,Charleston
UT,3.3333333333333335,3.6710526315789473,3.8552631578947367,3.7777777777777777,19.333333333333332,28.723684210526315,30.210526315789473,32.50997150997151,56994.0,6,76,38,351,Salt Lake City
VT,3.5,3.6944444444444446,3.84375,3.877049180327869,6.5,9.777777777777779,13.1875,16.327868852459016,48464.0,2,18,16,61,Burlington
WI,2.5,3.3660714285714284,3.7755102040816326,3.6845238095238093,8.857142857142858,11.107142857142858,18.06122448979592,18.104166666666668,38097.0,7,56,49,336,Milwaukee
WY,2.0,3.642857142857143,2.0,3.391304347826087,4.0,2.4285714285714284,2.5,6.565217391304348,59877.0,1,7,2,23,Cheyenne
