abbrev_state,average_rating_four_dollar,average_rating_one_dollar,average_rating_three_dollar,average_rating_two_dollar,average_review_count_four_dollar,average_review_count_one_dollar,average_review_count_three_dollar,average_review_count_two_dollar,city_median_household_income,four_dollar,one_dollar,three_dollar,two_dollar,city
AL,1.5,2.642857142857143,3.05,2.9896907216494846,9.0,9.19047619047619,64.0,19.649484536082475,36241.0,1,21,10,97,Birmingham
AK,2.0,2.4545454545454546,2.9166666666666665,3.3,5.0,14.818181818181818,59.0,23.15,85634.0,1,11,12,60,Anchorage
AZ,3.625,1.7352941176470589,3.765625,3.194331983805668,78.25,38.76470588235294,279.0,76.34412955465586,52062.0,4,34,32,247,Phoenix
AR,0.0,2.2083333333333335,3.5,3.2375,0.0,6.708333333333333,27.333333333333332,21.625,45605.0,0,24,3,80,Little Rock
CA,3.909090909090909,2.75,3.4785714285714286,3.18796992481203,409.0,131.83333333333334,380.37142857142857,241.48872180451127,54432.0,11,6,70,133,Los Angeles
CO,4.0,2.25,3.6842105263157894,3.163793103448276,144.0,43.27777777777778,151.31578947368422,57.060344827586206,61105.0,2,18,38,232,Denver
CT,0.0,1.0,3.0,3.25,0.0,3.0,14.0,27.416666666666668,42113.0,0,1,1,12,Bridgeport
NJ,4.0,2.1666666666666665,3.0625,2.7794117647058822,83.0,19.466666666666665,115.25,54.529411764705884,31100.0,1,15,8,68,Newark
DE,0.0,2.357142857142857,3.6666666666666665,3.15,0.0,8.428571428571429,37.5,24.55,36435.0,0,7,6,40,Wilmington
PA,3.75,2.2857142857142856,3.5135135135135136,3.01875,37.0,30.714285714285715,138.24324324324326,81.85,41449.0,2,14,37,80,Philadelphia
FL,0.0,2.15,3.5,3.019230769230769,0.0,11.733333333333333,77.1875,31.153846153846153,51298.0,0,30,16,130,Jacksonville
NC,4.0,1.9333333333333333,3.1315789473684212,3.0962566844919786,140.0,14.066666666666666,70.6842105263158,26.898395721925134,61017.0,1,30,19,187,Charlotte
GA,3.0,2.3181818181818183,3.3125,2.9516908212560384,92.5,36.93939393939394,160.375,49.65700483091788,53843.0,2,33,32,207,Atlanta
HI,4.375,2.875,3.5869565217391304,3.2573529411764706,192.25,42.25,381.0869565217391,144.91176470588235,69964.0,4,4,23,68,Honolulu
ID,0.0,2.6923076923076925,3.5833333333333335,3.6372549019607843,0.0,29.46153846153846,33.0,41.96078431372549,55199.0,0,13,6,51,Boise
IL,4.142857142857143,3.0,3.6693548387096775,3.544,277.2857142857143,74.33333333333333,279.03225806451616,125.928,53006.0,7,3,62,125,Chicago
IN,4.0,2.215909090909091,3.0526315789473686,2.997340425531915,34.0,15.818181818181818,72.73684210526316,26.70744680851064,44615.0,1,44,19,188,Indianapolis
IA,2.0,2.5714285714285716,3.1875,3.2451923076923075,2.0,13.095238095238095,11.375,20.432692307692307,49203.0,1,21,8,104,Des Moines
KS,0.0,2.25,3.1875,3.25,0.0,5.6,25.375,17.557971014492754,49202.0,0,30,8,138,Wichita
KY,3.5,2.4444444444444446,3.3846153846153846,3.306451612903226,109.0,11.444444444444445,88.3076923076923,31.096774193548388,38005.0,1,18,13,124,Louisville
LA,2.75,2.6315789473684212,3.7027027027027026,3.3324022346368714,196.0,52.473684210526315,220.2972972972973,82.89944134078212,38681.0,2,19,37,179,New Orleans
ME,4.0,3.0,3.9,3.35,10.0,32.0,125.0,51.15,51851.0,1,2,5,40,Portland
MD,4.166666666666667,2.4545454545454546,3.6666666666666665,3.0697674418604652,55.333333333333336,17.818181818181817,143.86666666666667,48.286821705426355,47350.0,3,22,15,129,Baltimore
SC,3.0,2.4375,3.8815789473684212,3.0725806451612905,50.0,14.0,71.13157894736842,30.766129032258064,61467.0,3,16,38,124,Charleston
MA,3.8,2.25,3.694915254237288,3.2355371900826446,132.2,21.375,207.25423728813558,72.47933884297521,63621.0,5,16,59,121,Boston
MI,1.5,2.2941176470588234,3.7222222222222223,2.890909090909091,5.666666666666667,9.882352941176471,122.77777777777777,40.018181818181816,28099.0,3,17,9,55,Detroit
MN,3.8333333333333335,2.282608695652174,3.27027027027027,3.1588541666666665,17.666666666666668,16.91304347826087,71.97297297297297,30.713541666666668,56255.0,3,23,37,192,Minneapolis
MS,0.0,1.9583333333333333,2.4285714285714284,2.7971014492753623,0.0,6.75,4.142857142857143,14.72463768115942,39724.0,0,12,7,69,Jackson
MO,1.5,1.9761904761904763,3.6538461538461537,2.96875,3.0,14.142857142857142,69.0,36.36607142857143,51235.0,1,21,13,112,Kansas City
TX,4.166666666666667,2.375,3.3620689655172415,2.9916666666666667,43.333333333333336,12.071428571428571,142.31034482758622,36.62777777777778,47793.0,3,28,29,180,Houston
MT,0.0,2.625,3.1666666666666665,3.141025641025641,0.0,19.25,26.666666666666668,20.102564102564102,54222.0,0,8,3,39,Billings
NE,3.0,2.4047619047619047,3.3,3.2681159420289854,110.5,12.952380952380953,20.8,28.507246376811594,52672.0,2,21,5,69,Omaha
NV,3.4166666666666665,2.7,3.6904761904761907,3.219298245614035,257.0,160.42857142857142,1609.8095238095239,527.8187134502924,51115.0,6,35,21,171,Las Vegas
VA,1.5,1.8414634146341464,2.625,2.8263473053892216,9.5,13.609756097560975,46.17857142857143,33.82634730538922,71117.0,2,41,28,167,Virginia Beach
NH,3.5,2.8333333333333335,0.0,3.0714285714285716,157.0,17.0,0.0,25.952380952380953,54664.0,1,3,0,21,Manchester
NY,3.875,0.0,3.5580357142857144,3.2838709677419353,236.0625,0.0,247.15178571428572,188.18064516129033,58856.0,16,0,112,155,New York
NM,0.0,2.5714285714285716,3.4375,2.9411764705882355,0.0,25.523809523809526,128.875,41.05882352941177,50522.0,0,42,8,102,Albuquerque
ND,0.0,1.9375,4.0,3.5,0.0,6.0,47.0,12.80952380952381,52699.0,0,8,1,42,Fargo
OH,2.8333333333333335,2.3088235294117645,3.142857142857143,3.1548387096774193,31.333333333333332,9.823529411764707,45.857142857142854,26.15483870967742,49602.0,3,34,21,155,Columbus
OK,2.75,2.2976190476190474,3.45,3.243150684931507,13.5,8.857142857142858,38.0,20.445205479452056,52915.0,2,42,20,146,Oklahoma City
OR,0.0,2.388888888888889,3.888888888888889,3.3867924528301887,0.0,50.638888888888886,227.88888888888889,97.61635220125787,62127.0,0,36,27,159,Portland
WA,4.5,2.193548387096774,3.858974358974359,3.263157894736842,191.0,42.67741935483871,254.97435897435898,97.23923444976077,83476.0,1,31,39,209,Seattle
RI,0.0,2.8333333333333335,2.875,3.3125,0.0,14.0,135.0,48.6875,40335.0,0,3,4,16,Providence
SD,0.0,2.7142857142857144,3.0,3.391304347826087,0.0,12.571428571428571,3.0,18.0,56867.0,0,7,2,46,Sioux Falls
TN,3.125,2.1951219512195124,3.4857142857142858,2.988038277511962,21.5,23.609756097560975,84.17142857142858,41.02392344497608,54310.0,4,41,35,209,Nashville-Davidson
UT,3.6666666666666665,2.076923076923077,3.325,3.401360544217687,49.666666666666664,30.192307692307693,66.35,44.87755102040816,56994.0,3,26,20,147,Salt Lake City
VT,0.0,2.3333333333333335,4.2,3.4107142857142856,0.0,20.833333333333332,63.6,35.857142857142854,48464.0,0,6,5,28,Burlington
WV,0.0,2.6666666666666665,2.5,3.3541666666666665,0.0,13.333333333333334,10.0,24.0,45187.0,0,3,1,24,Charleston
WI,2.75,2.5,3.8333333333333335,3.22972972972973,15.0,17.555555555555557,140.33333333333334,35.16216216216216,38097.0,2,18,9,111,Milwaukee
WY,4.0,2.5,1.5,3.173076923076923,25.0,11.0,4.0,28.73076923076923,59877.0,1,8,2,26,Cheyenne
