abbrev_state,average_rating_four_dollar,average_rating_one_dollar,average_rating_three_dollar,average_rating_two_dollar,average_review_count_four_dollar,average_review_count_one_dollar,average_review_count_three_dollar,average_review_count_two_dollar,city_median_household_income,four_dollar,one_dollar,three_dollar,two_dollar,city
AL,4.0,3.8452380952380953,4.25,3.7091503267973858,1.0,40.80952380952381,102.33333333333333,90.60130718954248,36241.0,1,42,12,153,Birmingham
AK,4.0,3.6578947368421053,3.65,3.4152542372881354,85.0,18.263157894736842,118.4,119.62711864406779,85634.0,1,19,10,59,Anchorage
AZ,4.0,3.9615384615384617,3.9375,3.6635944700460827,589.6666666666666,241.19230769230768,479.78125,393.8640552995392,52062.0,3,26,32,434,Phoenix
AR,0.0,3.763157894736842,3.75,3.3950617283950617,0.0,21.157894736842106,61.25,65.0246913580247,45605.0,0,19,4,81,Little Rock
CA,3.857142857142857,3.892857142857143,3.8904109589041096,3.7142857142857144,1639.0,872.1428571428571,1231.835616438356,966.0862068965517,54432.0,7,14,73,406,Los Angeles
CO,4.0,3.8297872340425534,4.0,3.7322738386308068,453.75,285.8723404255319,456.7894736842105,353.18581907090464,61105.0,4,47,38,409,Denver
CT,4.0,3.7,3.25,3.7203389830508473,2.0,7.6,96.33333333333333,90.7457627118644,42113.0,1,5,6,59,Bridgeport
PA,3.3333333333333335,3.872549019607843,3.811111111111111,3.6085858585858586,107.33333333333333,133.86274509803923,334.02222222222224,269.729797979798,41449.0,3,51,45,396,Philadelphia
DE,5.0,3.7333333333333334,4.0,3.40625,1.0,8.666666666666666,71.75,85.8125,36435.0,1,15,8,96,Wilmington
NJ,3.5,3.693877551020408,3.4,3.4350961538461537,57.6,24.367346938775512,256.0,154.70673076923077,31100.0,5,49,15,208,Newark
FL,1.5,3.7815533980582523,4.0,3.57719298245614,2.0,39.786407766990294,129.0,125.30526315789474,51298.0,1,103,10,285,Jacksonville
GA,3.8333333333333335,3.7888888888888888,3.9411764705882355,3.5506024096385542,220.33333333333334,190.22222222222223,399.11764705882354,291.855421686747,53843.0,3,45,34,415,Atlanta
HI,3.875,3.804054054054054,3.7794117647058822,3.6908127208480566,43.0,52.554054054054056,323.47058823529414,285.73851590106005,69964.0,4,74,34,283,Honolulu
ID,0.0,3.7181818181818183,3.6,3.6773049645390072,0.0,24.163636363636364,170.4,92.73049645390071,55199.0,0,55,5,141,Boise
IL,4.071428571428571,3.8260869565217392,3.858490566037736,3.633093525179856,614.0,387.0,784.566037735849,544.8681055155876,53006.0,7,23,53,417,Chicago
IN,4.5,3.6785714285714284,4.0,3.6194805194805193,145.0,49.089285714285715,157.3,132.33246753246752,44615.0,1,112,20,385,Indianapolis
