abbrev_state,average_rating_four_dollar,average_rating_one_dollar,average_rating_three_dollar,average_rating_two_dollar,average_review_count_four_dollar,average_review_count_one_dollar,average_review_count_three_dollar,average_review_count_two_dollar,city_median_household_income,four_dollar,one_dollar,three_dollar,two_dollar,city
AL,0.0,3.8008130081300813,3.9782608695652173,3.714492753623188,0.0,73.21951219512195,142.47826086956522,123.06666666666666,36241.0,0,123,23,345,Birmingham
NC,4.0,4.118055555555555,3.859375,3.777479892761394,239.66666666666666,288.2638888888889,266.59375,308.8230563002681,61017.0,3,72,32,373,Charlotte
IN,4.5,4.091397849462366,3.9545454545454546,3.904819277108434,145.0,202.67741935483872,235.27272727272728,257.65060240963857,44615.0,1,93,33,415,Indianapolis
AK,4.0,3.2372262773722627,3.892857142857143,3.5952380952380953,85.0,29.8978102189781,212.28571428571428,106.6952380952381,85634.0,1,137,14,315,Anchorage
AZ,4.125,4.161538461538462,4.037037037037037,3.9518518518518517,744.0,633.9538461538461,721.2222222222222,757.762962962963,52062.0,4,65,27,405,Phoenix
AR,2.75,3.677142857142857,3.7222222222222223,3.5284697508896796,44.5,41.902857142857144,69.5,67.05693950177935,45605.0,2,175,18,281,Little Rock
CA,4.055555555555555,3.943396226415094,3.847826086956522,3.907754010695187,2624.5555555555557,2323.7169811320755,2018.2898550724638,1991.0561497326203,54432.0,9,53,69,374,Los Angeles
CO,4.125,4.098039215686274,3.9634146341463414,3.9133663366336635,547.0,491.01960784313724,654.2926829268292,602.4306930693069,61105.0,4,51,41,404,Denver
CT,3.1666666666666665,3.391812865497076,3.75,3.576923076923077,59.333333333333336,30.795321637426902,82.33333333333333,77.23504273504274,42113.0,3,171,18,234,Bridgeport
PA,4.4375,3.9757281553398056,3.939655172413793,3.7758241758241757,728.25,407.71844660194176,612.0689655172414,447.66593406593404,41449.0,8,103,58,455,Philadelphia
DE,0.0,3.7409638554216866,3.8076923076923075,3.5411255411255413,0.0,68.44578313253012,125.15384615384616,103.0952380952381,36435.0,0,83,13,231,Wilmington
NJ,4.0,3.76953125,3.5277777777777777,3.5485564304461943,215.0,109.6015625,249.33333333333334,191.1968503937008,31100.0,2,128,18,381,Newark
FL,4.5,4.051020408163265,4.0,3.903947368421053,171.0,177.3469387755102,235.75,226.60526315789474,51298.0,1,98,20,380,Jacksonville
GA,4.3,3.92,3.95,3.7685643564356437,682.6,483.18,638.925,603.1039603960396,53843.0,5,50,40,404,Atlanta
HI,4.1875,4.127450980392157,4.0,3.795629820051414,802.25,685.7843137254902,670.1923076923077,743.4575835475579,69964.0,8,51,52,389,Honolulu
ID,4.0,3.7063953488372094,4.166666666666667,3.65359477124183,144.0,73.77906976744185,247.66666666666666,125.66666666666667,55199.0,1,172,9,306,Boise
IL,3.9615384615384617,4.108695652173913,3.971830985915493,3.8364864864864865,945.0,989.4565217391304,1156.1267605633802,1125.4054054054054,53006.0,13,46,71,370,Chicago
