abbrev_state,average_rating_four_dollar,average_rating_one_dollar,average_rating_three_dollar,average_rating_two_dollar,average_review_count_four_dollar,average_review_count_one_dollar,average_review_count_three_dollar,average_review_count_two_dollar,city_median_household_income,four_dollar,one_dollar,three_dollar,two_dollar,city
AL,3.0,3.417910447761194,3.524193548387097,3.677536231884058,9.1875,9.73134328358209,8.919354838709678,10.43840579710145,36241.0,16,67,62,276,Birmingham
AK,3.5952380952380953,3.625,3.5233644859813085,3.644385026737968,8.238095238095237,12.5,10.467289719626168,12.556149732620321,85634.0,21,48,107,187,Anchorage
AZ,3.3333333333333335,3.4324324324324325,3.5384615384615383,3.675561797752809,86.0,100.22972972972973,120.65384615384616,102.49438202247191,52062.0,9,74,52,356,Phoenix
IL,3.45,3.7542372881355934,3.716867469879518,3.86271676300578,125.2,135.96610169491527,130.57831325301206,135.84104046242774,53006.0,10,59,83,346,Chicago
AR,2.96875,3.2111111111111112,2.889830508474576,3.5297619047619047,5.875,6.088888888888889,5.067796610169491,5.559523809523809,45605.0,16,45,59,168,Little Rock
FL,3.7857142857142856,3.625,3.493333333333333,3.6183800623052957,14.428571428571429,23.26388888888889,18.786666666666665,23.49532710280374,51298.0,7,72,75,321,Jacksonville
CA,3.611111111111111,4.25,3.330769230769231,3.8493150684931505,246.88888888888889,342.0,393.66153846153844,317.13424657534244,54432.0,9,58,65,365,Los Angeles
CO,3.0,3.4482758620689653,3.6052631578947367,3.745014245014245,63.833333333333336,76.34482758620689,89.97368421052632,79.16524216524216,61105.0,6,58,76,351,Denver
NY,3.1774193548387095,4.126984126984127,3.5873015873015874,3.8108974358974357,138.51612903225808,175.12698412698413,153.78571428571428,162.67948717948718,58856.0,31,63,126,468,New York
CT,2.857142857142857,3.74,3.409090909090909,3.3916083916083917,6.857142857142857,5.52,10.863636363636363,8.678321678321678,42113.0,7,25,44,143,Bridgeport
PA,3.227272727272727,3.9038461538461537,3.6344086021505375,3.7190860215053765,31.272727272727273,54.38461538461539,42.54838709677419,46.59139784946237,41449.0,11,78,93,372,Philadelphia
NJ,2.9285714285714284,3.0365853658536586,3.141304347826087,3.46875,18.428571428571427,34.65853658536585,25.217391304347824,35.07692307692308,31100.0,7,41,46,208,Newark
DE,2.8333333333333335,3.234375,3.419642857142857,3.2916666666666665,10.333333333333334,10.625,12.035714285714286,13.125,36435.0,6,32,56,168,Wilmington
MD,2.8333333333333335,3.522727272727273,3.5632911392405062,3.4671875,29.166666666666668,34.75757575757576,25.974683544303797,28.759375,47350.0,12,66,79,320,Baltimore
OR,3.2,3.63265306122449,3.675324675324675,3.8221574344023326,72.8,94.55102040816327,81.62337662337663,90.87463556851311,62127.0,5,49,77,343,Portland
GA,3.2,3.4242424242424243,3.4225352112676055,3.623546511627907,41.5,54.303030303030305,59.63380281690141,60.90988372093023,53843.0,10,66,71,344,Atlanta
HI,3.8636363636363638,3.75,3.607142857142857,3.8378378378378377,87.63636363636364,132.89655172413794,111.23214285714286,103.32972972972973,69964.0,11,58,56,370,Honolulu
ID,3.361111111111111,3.75,3.6774193548387095,3.772200772200772,8.0,10.666666666666666,10.838709677419354,13.76061776061776,55199.0,18,72,62,259,Boise
