Id,Id2,Geography,high_school_or_higher,bachelors_or_higher
0500000US15003,15003,"Honolulu, Hawaii",91.4,34
1600000US0107000,107000,"Birmingham , Alabama",85.9,25.7
1600000US0203000,203000,"Anchorage, Alaska",93.4,34.6
1600000US0455000,455000,"Phoenix , Arizona",81.2,27.8
1600000US0541000,541000,"Little Rock , Arkansas",91.3,40.3
1600000US0644000,644000,"Los Angeles , California",76.4,33
1600000US0820000,820000,"Denver , Colorado",86.7,46.5
1600000US0908000,908000,"Bridgeport , Connecticut",75.6,18.1
1600000US1077580,1077580,"Wilmington , Delaware",84.4,26.2
1600000US1235000,1235000,"Jacksonville , Florida",89,27.5
1600000US1304000,1304000,"Atlanta , Georgia",89.9,48.7
1600000US1608830,1608830,"Boise City , Idaho",94.4,40.9
1600000US1714000,1714000,"Chicago , Illinois",83.8,37.5
1600000US1836003,1836003,"Indianapolis, Indiana",85.5,29.7
1600000US1921000,1921000,"Des Moines , Iowa",86.4,25.2
1600000US2079000,2079000,"Wichita , Kansas",87.6,29.5
1600000US2255000,2255000,"New Orleans , Louisiana",85.9,36.5
1600000US2360545,2360545,"Portland , Maine",92.5,47.6
1600000US2404000,2404000,"Baltimore , Maryland",84.2,30.4
1600000US2507000,2507000,"Boston , Massachusetts",86.1,47.4
1600000US2622000,2622000,"Detroit , Michigan",79.7,14.2
1600000US2743000,2743000,"Minneapolis , Minnesota",89.3,48.3
1600000US2836000,2836000,"Jackson , Mississippi",84.6,27.1
1600000US2938000,2938000,"Kansas City , Missouri",89.1,33.5
1600000US3006550,3006550,"Billings , Montana",92.9,32.6
1600000US3137000,3137000,"Omaha , Nebraska",88.4,35.6
1600000US3240000,3240000,"Las Vegas , Nevada",84,23.2
1600000US3345140,3345140,"Manchester , New Hampshire",87.4,28.3
1600000US3451000,3451000,"Newark , New Jersey",74,14.4
1600000US3502000,3502000,"Albuquerque , New Mexico",89.5,34.3
1600000US3651000,3651000,"New York , New York",81.1,36.7
1600000US3712000,3712000,"Charlotte , North Carolina",88.6,42.9
1600000US3825700,3825700,"Fargo , North Dakota",93.8,38.8
1600000US3918000,3918000,"Columbus , Ohio",89.1,35.1
1600000US4055000,4055000,"Oklahoma City , Oklahoma",85.6,29.6
1600000US4159000,4159000,"Portland , Oregon",91.8,48.2
1600000US4260000,4260000,"Philadelphia , Pennsylvania",83.3,27.1
1600000US4459000,4459000,"Providence , Rhode Island",77.8,30.1
1600000US4513330,4513330,"Charleston , South Carolina",94.3,51.4
1600000US4659020,4659020,"Sioux Falls , South Dakota",91.7,33.8
1600000US4835000,4835000,"Houston , Texas",77.9,31.7
1600000US4967000,4967000,"Salt Lake City , Utah",88.5,45.1
1600000US5010675,5010675,"Burlington , Vermont",90.6,51.3
1600000US5182000,5182000,"Virginia Beach , Virginia",93.4,34.8
1600000US5363000,5363000,"Seattle , Washington",94.2,61.7
1600000US5414600,5414600,"Charleston , West Virginia",91.9,38.6
1600000US5553000,5553000,"Milwaukee , Wisconsin",83,23.8
1600000US5613900,5613900,"Cheyenne , Wyoming",93.9,30.8
310M300US31140,31140,"Louisville, Kentucky",89.2,28
310M300US34980,34980,"Nashville, Tennessee",89.1,34
