category,city,name,price,rating,review_count,state
beautysvc,Homewood,Genesis Nail Spa,$$,4.5,89,AL
beautysvc,Birmingham,Escape Day Spa,$$,4.0,78,AL
beautysvc,Birmingham,Orbit Salon,$$,4.5,67,AL
beautysvc,Birmingham,Canterbury Nails,$$,3.5,63,AL
beautysvc,Vestavia Hills,Brazilian Wax Spa by Marci,$$,4.5,46,AL
beautysvc,Vestavia Hills,Uptown Nail Spa,$$,4.5,45,AL
beautysvc,Birmingham,Studio 21 Hair Salon,$$,4.0,41,AL
beautysvc,Birmingham,Salon U An Aveda Concept Salon,$$$,4.0,40,AL
beautysvc,Hoover,Riviera Nails & Spa,$$,4.0,40,AL
beautysvc,Hoover,Foot Massage,$$,5.0,39,AL
beautysvc,Birmingham,Nail World II,$$,4.0,38,AL
beautysvc,Hoover,Sapphire Nails & Spa,$$,2.5,35,AL
beautysvc,Birmingham,Oasis Nail Spa,$,4.0,35,AL
beautysvc,Hoover,the nail bar,$$,4.5,32,AL
beautysvc,Hoover,Lavish Threading & Spa,$,4.5,32,AL
beautysvc,Birmingham,Nova Nail Salon,$$,4.0,31,AL
beautysvc,Mountain Brook,Massage Envy - Mountain Brook,$$,3.0,31,AL
beautysvc,Hoover,Aveda Arts & Sciences Institute Birmingham,$$,3.5,30,AL
beautysvc,Birmingham,Jasmine Arch Threading and Lounge,$,4.0,30,AL
beautysvc,Birmingham,Santa Fe Day Spa,$$$,3.0,30,AL
beautysvc,Birmingham,Classic 13 Tattoo,$$,4.5,30,AL
beautysvc,Birmingham,Wheelhouse Salon,$$,4.5,28,AL
beautysvc,Birmingham,Sweet Escape Nails & Organics,$$,3.5,27,AL
beautysvc,Birmingham,Nail & Spa 150,$$,4.0,26,AL
beautysvc,Hoover,Hwy 31 Nails & Spa,$$,4.5,24,AL
beautysvc,Birmingham,Cloud Nine Southside,$$,2.5,24,AL
beautysvc,Birmingham,Nail Tek,$$,3.0,24,AL
beautysvc,Birmingham,Basecoat On Fifth,$$,4.0,23,AL
