category,city,name,price,rating,review_count,state
hotelstravel,Birmingham,Sheraton Birmingham Hotel,$$$,2.5,133,AL
hotelstravel,Birmingham,Embassy Suites by Hilton Birmingham,$$$,2.0,125,AL
hotelstravel,Birmingham,Renaissance Birmingham Ross Bridge Golf Resort & Spa,$$$,3.5,101,AL
hotelstravel,Birmingham,"Redmont Hotel Birmingham, Curio Collection by Hilton",$$,3.5,92,AL
hotelstravel,Birmingham,The Westin Birmingham,$$$,4.0,85,AL
hotelstravel,Homewood,Aloft Birmingham Soho Square,$$,3.5,83,AL
hotelstravel,Birmingham,Hampton Inn & Suites Birmingham-Downtown-Tutwiler,$$,4.0,77,AL
hotelstravel,Birmingham,Birmingham Marriott,$$,3.0,74,AL
hotelstravel,Birmingham,Hilton Birmingham at UAB,$$,2.5,72,AL
hotelstravel,Birmingham,Hyatt Regency Birmingham - The Wynfrey Hotel,$$$,3.0,71,AL
hotelstravel,Birmingham,Holiday Inn Birmingham-Airport,$$,2.0,70,AL
hotelstravel,Birmingham,"Grand Bohemian Hotel Mountain Brook, Autograph Collection",$$$,3.5,59,AL
hotelstravel,Birmingham,"Elyton Hotel, Autograph Collection",$$$,4.0,51,AL
hotelstravel,Birmingham,Embassy Suites by Hilton Birmingham Hoover,$$,3.5,49,AL
hotelstravel,Birmingham,Hyatt Place Birmingham Inverness,$$,3.5,47,AL
hotelstravel,Birmingham,SpringHill Suites Birmingham Downtown at UAB,$$,3.0,43,AL
hotelstravel,Hoover,Hyatt Place Birmingham/Hoover,$$,3.5,40,AL
hotelstravel,Birmingham,Drury Inn & Suites,$$,4.0,38,AL
hotelstravel,Birmingham,La Quinta by Wyndham Birmingham Hoover,$$,3.0,37,AL
hotelstravel,Birmingham,SpringHill Suites Birmingham Colonnade,$$,3.0,35,AL
hotelstravel,Birmingham,Comfort Inn Birmingham - Irondale,$,4.0,34,AL
hotelstravel,Birmingham,The Hotel Highland Downtown UAB,$$,3.5,34,AL
hotelstravel,Birmingham,Drury Inn & Suites -  Birmingham Southwest,$$,4.0,34,AL
hotelstravel,Birmingham,Courtyard by Marriott Birmingham Downtown at UAB,$$,3.0,32,AL
hotelstravel,Birmingham,Residence Inn Birmingham Downtown at UAB,$$,3.5,32,AL
hotelstravel,Birmingham,Courtyard by Marriott Birmingham Colonnade/Grandview,$$,3.0,31,AL
hotelstravel,Birmingham,Days Inn by Wyndham Birmingham AL,$,1.5,31,AL
hotelstravel,Birmingham,Best Western Plus Carlton Suites,$$,3.5,30,AL
hotelstravel,Homewood,La Quinta by Wyndham Birmingham Homewood,$$,3.0,29,AL
hotelstravel,Birmingham,Hilton Garden Inn Birmingham SE/Liberty Park,$$,3.5,29,AL
hotelstravel,Birmingham,Hampton Inn Birmingham-Colonnade 280,$$,2.5,27,AL
hotelstravel,Birmingham,Hampton Inn Birmingham/Mountain Brook,$$,3.5,26,AL
hotelstravel,Birmingham,Ramada by Wyndham Birmingham Airport,$$,1.5,25,AL
hotelstravel,Birmingham,Courtyard by Marriott Trussville,$$,2.5,24,AL
hotelstravel,Homewood,Holiday Inn Birmingham - Homewood,$$,2.5,24,AL
hotelstravel,Birmingham,Days Inn by Wyndham Birmingham/West,$$,1.5,24,AL
hotelstravel,Hoover,Homewood Suites by Hilton Birmingham-SW-Riverchase-Galleria,$$,4.0,23,AL
hotelstravel,Birmingham,Hilton Garden Inn Birmingham/Lakeshore Drive,$$,3.5,22,AL
hotelstravel,Birmingham,Extended Stay America - Birmingham - Perimeter Park South,$$,1.5,21,AL
hotelstravel,Homewood,Courtyard by Marriott Birmingham Homewood,$$,3.5,20,AL
hotelstravel,Birmingham,Hampton Inn & Suites Birmingham East Irondale,$$,2.5,19,AL
hotelstravel,Pelham,Holiday Inn Express Pelham - Oak Mtn Pk Area,$$,3.0,19,AL
hotelstravel,Birmingham,Homewood Suites by Hilton Birmingham-South/Inverness,$$,4.0,19,AL
hotelstravel,Birmingham,La Quinta Inn Birmingham - Inverness,$$,2.5,19,AL
hotelstravel,Harpersville,Morgan Creek Vineyards,$$,4.0,18,AL
hotelstravel,Hoover,Courtyard by Marriott Birmingham Hoover,$$,3.0,17,AL
hotelstravel,Bessemer,Best Western Plus Bessemer Hotel & Suites,$$,4.0,16,AL
hotelstravel,Homewood,Country Inn and Suites,$$,2.0,16,AL
hotelstravel,Birmingham,Homewood Suites by Hilton Birmingham Downtown Near UAB,$$,4.0,16,AL
hotelstravel,Hoover,Residence Inn by Marriott Birmingham Hoover,$$,3.5,16,AL
hotelstravel,Leeds,"Hampton Inn Birmingham/Leeds, AL",$$,4.5,16,AL
hotelstravel,Birmingham,Hampton Inn Birmingham I-65/Lakeshore Drive,$$,3.0,16,AL
