category,city,name,price,rating,review_count,state
nightlife,Birmingham,Jack Brown's Beer & Burger Joint,$,4.5,410,AL
nightlife,Birmingham,Chuy's,$$,3.5,383,AL
nightlife,Homewood,Little Donkey - Homewood,$$,3.5,355,AL
nightlife,Birmingham,Gianmarco's Restaurant,$$,4.5,344,AL
nightlife,Birmingham,Five Bar,$$,4.0,304,AL
nightlife,Birmingham,Chez Fonfon,$$,4.5,298,AL
nightlife,Birmingham,The Southern Kitchen & Bar,$$,3.5,292,AL
nightlife,Birmingham,The Cowfish Sushi Burger Bar,$$,4.0,285,AL
nightlife,Birmingham,Paramount Bar,$$,4.5,283,AL
nightlife,Birmingham,Rojo,$$,4.0,281,AL
nightlife,Birmingham,Highlands Bar & Grill,$$$,4.5,276,AL
nightlife,Vestavia Hills,Cajun Seafood House,$$,4.5,268,AL
nightlife,Hoover,Firebirds Wood Fired Grill,$$,4.0,263,AL
nightlife,Birmingham,Village Tavern,$$,4.0,260,AL
nightlife,Birmingham,Saw's Juke Joint,$$,4.5,259,AL
nightlife,Birmingham,Fancy's on Fifth,$$,4.5,241,AL
nightlife,Birmingham,Hot and Hot Fish Club,$$$,4.0,240,AL
nightlife,Birmingham,Seasons 52,$$,4.0,239,AL
nightlife,Hoover,Jakes Soul Food Cafe,$$,4.5,237,AL
nightlife,Birmingham,Five Point Public House Oyster Bar,$$,4.0,223,AL
nightlife,Birmingham,Good People Brewing,$,4.5,217,AL
nightlife,Birmingham,Pies & Pints,$$,4.0,217,AL
nightlife,Birmingham,Avondale Common House,$$,4.5,210,AL
nightlife,Birmingham,Iron City Bham,$$,4.0,207,AL
nightlife,Birmingham,The Filling Station,$$,4.0,195,AL
nightlife,Birmingham,The Collins Bar,$$,4.5,188,AL
nightlife,Vestavia Hills,Twisted Root Burger Co - Birmingham,$$,4.0,186,AL
nightlife,Birmingham,Brät Brot,$$,4.5,181,AL
nightlife,Birmingham,Mugshots Grill and Bar,$$,2.5,176,AL
nightlife,Birmingham,Sky Castle,$$,3.5,175,AL
nightlife,Birmingham,Roots & Revelry,$$,4.0,164,AL
nightlife,Birmingham,Black Market Bar + Grill,$$,3.5,160,AL
