category,city,name,price,rating,review_count,state
restaurants,Birmingham,El Barrio,$$,4.5,551,AL
restaurants,Birmingham,Babalu Tapas & Tacos,$$,4.0,509,AL
restaurants,Homewood,Saw's BBQ,$$,4.5,497,AL
restaurants,Birmingham,Carrigan's Public House,$$,4.5,490,AL
restaurants,Birmingham,Hattie B's Hot Chicken - Bham,$$,4.5,438,AL
restaurants,Birmingham,Jack Brown's Beer & Burger Joint,$,4.5,410,AL
restaurants,Birmingham,Pappadeaux Seafood Kitchen,$$$,3.5,386,AL
restaurants,Birmingham,Chuy's,$$,3.5,383,AL
restaurants,Birmingham,Big Bad Breakfast,$$,4.0,371,AL
restaurants,Homewood,Little Donkey - Homewood,$$,3.5,355,AL
restaurants,Birmingham,Post Office Pies,$$,4.0,353,AL
restaurants,Birmingham,Dreamland BBQ,$$,3.5,346,AL
restaurants,Birmingham,Gianmarco's Restaurant,$$,4.5,344,AL
restaurants,Birmingham,Urban Standard,$,4.5,341,AL
restaurants,Birmingham,Jim 'N Nick's Bar-B-Q,$$,4.0,335,AL
restaurants,Birmingham,Todd English P.U.B.,$$,3.0,323,AL
restaurants,Birmingham,Yo' Mama's,$$,4.5,320,AL
restaurants,Homewood,Super Oriental Market and Red Pearl Restaurant,$$,4.0,315,AL
restaurants,Birmingham,The Fish Market Restaurant,$$,3.5,310,AL
restaurants,Birmingham,John's City Diner,$$,4.0,306,AL
restaurants,Birmingham,Five Bar,$$,4.0,304,AL
restaurants,Birmingham,Slice Pizza & Brewhouse - Lakeview,$$,4.0,302,AL
restaurants,Birmingham,Chez Fonfon,$$,4.5,298,AL
restaurants,Mountain Brook,Another Broken Egg Cafe,$$,4.0,298,AL
restaurants,Birmingham,Perry's Steakhouse & Grille - Birmingham,$$$,4.5,297,AL
restaurants,Birmingham,The Cheesecake Factory,$$,3.5,295,AL
restaurants,Birmingham,The Southern Kitchen & Bar,$$,3.5,292,AL
restaurants,Birmingham,Melt Avondale,$$,4.0,291,AL
restaurants,Birmingham,Bamboo on 2nd,$$,4.5,289,AL
restaurants,Birmingham,The Cowfish Sushi Burger Bar,$$,4.0,285,AL
restaurants,Birmingham,Paramount Bar,$$,4.5,284,AL
restaurants,Birmingham,Rojo,$$,4.0,282,AL
restaurants,Birmingham,Highlands Bar & Grill,$$$,4.5,276,AL
restaurants,Vestavia Hills,Cajun Seafood House,$$,4.5,269,AL
restaurants,Birmingham,Saigon Noodle House,$$,4.0,265,AL
restaurants,Birmingham,Eli's Jerusalem Grill,$$,4.5,264,AL
restaurants,Hoover,Firebirds Wood Fired Grill,$$,4.0,263,AL
restaurants,Birmingham,Village Tavern,$$,4.0,260,AL
restaurants,Birmingham,Saw's Juke Joint,$$,4.5,259,AL
restaurants,Birmingham,Jim 'N Nick's Bar-B-Q,$$,2.0,256,AL
restaurants,Homewood,Okinawa Sushi & Hibachi Steak House,$$,4.5,246,AL
restaurants,Birmingham,Trattoria Zaza,$$,4.5,241,AL
restaurants,Birmingham,Fancy's on Fifth,$$,4.5,241,AL
