category,city,name,price,rating,review_count,state
shopping,Birmingham,Apple Store,$$$,3.0,63,AL
shopping,Birmingham,What's On 2nd,$$,4.5,62,AL
shopping,Birmingham,Lucky Cat Rolled Creams,$$,4.5,60,AL
shopping,Hoover,Riverchase Galleria,$$,3.0,57,AL
shopping,Birmingham,Golden Temple Natural Grocery & Cafe,$,3.5,50,AL
shopping,Hoover,2nd and Charles,$,3.5,49,AL
shopping,Homewood,Target,$$,3.5,45,AL
shopping,Birmingham,The Summit,$$$,4.0,43,AL
shopping,Leeds,The Shops of Grand River,$$,4.0,38,AL
shopping,Hoover,Costco,$$,4.5,38,AL
shopping,Birmingham,Target,$$,4.0,37,AL
shopping,Hoover,Rooms To Go,$$,2.0,32,AL
shopping,Birmingham,Diamonds Direct,$$$$,3.5,32,AL
shopping,Hoover,Hoover Tactical,$$,3.5,31,AL
shopping,Birmingham,Levy's Fine Jewelry,$$$,4.5,30,AL
shopping,Birmingham,Ashley HomeStore,$$,2.0,30,AL
shopping,Birmingham,Best Buy,$$,2.5,28,AL
shopping,Hoover,David's Bridal,$$,3.0,28,AL
shopping,Homewood,Walmart Supercenter,$,2.0,27,AL
shopping,Birmingham,Saks Fifth Avenue,$$$$,3.5,26,AL
shopping,Birmingham,Five Points Paint & Hardware,$$,2.5,26,AL
shopping,Homewood,Sam's Club,$$,3.0,26,AL
shopping,Hoover,Sam's Club,$$,3.0,25,AL
shopping,Birmingham,Belk Department Store,$$,2.5,25,AL
shopping,Birmingham,The Humidor Room Cigar & Scotch Bar,$$,4.5,25,AL
shopping,Birmingham,Charlemagne Record Exchange,$$,4.0,25,AL
shopping,Birmingham,Norton's Florist,$$,3.5,25,AL
shopping,Hoover,Walmart Supercenter,$,3.0,24,AL
shopping,Birmingham,Target,$$,3.5,24,AL
shopping,Birmingham,Target,$$,4.0,24,AL
shopping,Birmingham,Cloud Nine Southside,$$,2.5,24,AL
shopping,Birmingham,Jim Reed Books,$$,4.5,24,AL
shopping,Birmingham,The Pantry,$$,4.0,24,AL
shopping,Leeds,Bass Pro Shops-Tracker Marine,$$,3.5,23,AL
shopping,Birmingham,Best Buy - Birmingham,$$,2.5,22,AL
shopping,Hoover,Jo-Ann Fabrics and Crafts,$$,3.5,22,AL
shopping,Trussville,Sam's Club,$$,3.5,21,AL
shopping,Hoover,Von Maur,$$$,4.5,21,AL
shopping,Birmingham,Barnes & Noble Booksellers,$$,3.5,21,AL
shopping,Birmingham,Brookwood Village,$$,3.5,21,AL
shopping,Birmingham,Sephora,$$,4.0,21,AL
shopping,Vestavia Hills,Publix Super Markets,$$,4.5,20,AL
shopping,Birmingham,Books Beans & Candles,$,4.5,20,AL
shopping,Hoover,Winn Dixie,$$,3.5,20,AL
shopping,Birmingham,Walmart Supercenter,$,2.0,20,AL
shopping,Hoover,Bella's Bridal & Formal,$$,2.5,19,AL
shopping,Irondale,Lovelady Thrift Store,$,3.5,19,AL
shopping,Birmingham,Seasick Records,$$,4.5,18,AL
shopping,Birmingham,The Home Depot,$$,3.0,18,AL
shopping,Birmingham,Lush Cosmetics,$$,4.0,17,AL
shopping,Hoover,Kohl's Hoover,$$,3.5,17,AL
shopping,Birmingham,Publix Super Markets,$$,3.5,17,AL
shopping,Leeds,Bama Flea Mall & Antique Center,$$,3.5,17,AL
shopping,Birmingham,Nordstrom Rack at River Ridge,$$,3.5,17,AL
shopping,Birmingham,Fleet Feet,$$$,5.0,17,AL
shopping,Birmingham,uBreakiFix,$$,3.5,17,AL
shopping,Homewood,Alabama Goods,$$,4.0,16,AL
shopping,Birmingham,Walgreens,$$,3.0,16,AL
shopping,Birmingham,Belk,$$,3.0,16,AL
shopping,Birmingham,Mountain High Outfitters,$$$,3.0,16,AL
shopping,Irondale,Publix Super Markets,$$,4.0,16,AL
shopping,Birmingham,Sojourns,$$,5.0,16,AL
shopping,Birmingham,Mark's Outdoor Sports,$$,3.5,16,AL
shopping,Birmingham,Bargain Hunt,$,3.5,16,AL
shopping,Birmingham,Plato's Closet,$$,2.5,16,AL
shopping,Birmingham,Walmart Supercenter,$$,3.0,15,AL
shopping,Birmingham,Best Buy Trussville,$$,2.0,15,AL
shopping,Birmingham,Forever 21,$,2.0,15,AL
shopping,Birmingham,The Trak Shak,$$,4.0,15,AL
shopping,Hoover,TJ Maxx,$,3.5,14,AL
shopping,Hoover,Ross Dress for Less,$$,2.5,14,AL
shopping,Hoover,Field & Stream,$$,2.5,14,AL
shopping,Birmingham,Bloom & Grow,$$,5.0,14,AL
shopping,Birmingham,GaBriella's Bistro & Art Gallery,$$,4.5,14,AL
shopping,Hoover,Walgreens,$$,2.5,14,AL
shopping,Birmingham,The Home Depot,$$,3.5,14,AL
shopping,Birmingham,Continental Florist,$$,4.5,14,AL
shopping,Hoover,Cost Plus World Market,$$,4.0,13,AL
shopping,Birmingham,Macy's,$$,3.0,13,AL
shopping,Birmingham,Bed Bath & Beyond,$$,4.0,13,AL
shopping,Bessemer,Simmons Sporting Goods of Alabama,$$,5.0,13,AL
shopping,Birmingham,Walmart Supercenter,$,3.5,13,AL
shopping,Birmingham,Hobby Lobby,$$,3.5,13,AL
shopping,Mountain Brook,Vitola Fine Cigars,$$,4.5,13,AL
shopping,Hoover,Portrait Innovations,$$$$,3.0,13,AL
shopping,Birmingham,Walmart Supercenter,$,2.0,13,AL
shopping,Birmingham,Dirt Cheap,$,2.0,13,AL
shopping,Bessemer,Target,$$,2.5,13,AL
shopping,Calera,Walmart Supercenter,$$,2.5,13,AL
shopping,Birmingham,Avondale Antiques,$$,5.0,13,AL
shopping,Birmingham,Cahaba Cycles,$$,4.5,12,AL
shopping,Chelsea,Walmart Supercenter,$$,3.5,12,AL
shopping,Birmingham,Plato's Closet,$$,3.5,12,AL
shopping,Birmingham,Macy's,$$,3.5,12,AL
shopping,Hoover,Hoover Florist,$$$,4.0,12,AL
shopping,Hoover,The Home Depot,$$,3.5,12,AL
shopping,Birmingham,Lowe's Home Improvement Warehouse Store of Homewod,$$,3.0,12,AL
shopping,Birmingham,Sozo Trading Co.,$,4.5,12,AL
shopping,Birmingham,Bed Bath & Beyond,$$,3.5,12,AL
shopping,Birmingham,Publix Super Markets,$$,3.5,12,AL
shopping,Birmingham,Lowe's - Trussville,$$,2.5,12,AL
shopping,Birmingham,Vestavia Eye Care,$$,4.5,12,AL
shopping,Birmingham,Urban Outfitters,$$$,3.0,11,AL
shopping,Hoover,DSW Designer Shoe Warehouse,$$,3.5,11,AL
shopping,Hoover,Cigars and More,$$,3.5,11,AL
shopping,Birmingham,Brass Bear,$$,4.5,11,AL
shopping,Homewood,Bob's Bikes,$$,3.5,11,AL
shopping,Trussville,The Home Depot,$$$,3.5,11,AL
shopping,Homewood,Alabama Outdoors,$$,4.0,11,AL
shopping,Center Point,America's Thrift Stores,$,3.5,11,AL
shopping,Birmingham,Walgreens,$,3.0,11,AL
shopping,Birmingham,Renaissance Records,$$,4.0,11,AL
shopping,Birmingham,Little Professor Book Center,$$,4.5,11,AL
shopping,Birmingham,Urban Suburban,$$$,4.5,11,AL
shopping,Vestavia Hills,Walmart Neighborhood Market,$$,3.5,11,AL
shopping,Hoover,Dick's Sporting Goods,$$,3.5,11,AL
shopping,Birmingham,Charm,$,5.0,11,AL
shopping,Hoover,Hobby Lobby,$$,4.0,10,AL
shopping,Birmingham,BumperNets,$$,5.0,10,AL
shopping,Birmingham,Dorothy McDaniel's Flower Market,$$$,4.0,10,AL
shopping,Leeds,Nike Factory Store,$$,3.0,10,AL
shopping,Birmingham,Alabama Booksmith,$,4.5,10,AL
shopping,Hoover,Homegoods,$$,3.5,10,AL
shopping,Hoover,Sephora,$$$,3.0,10,AL
shopping,Hoover,Five Below,$,3.5,10,AL
shopping,Birmingham,Cost Plus World Market,$$,5.0,10,AL
shopping,Hoover,Academy Sports + Outdoors,$$,3.0,10,AL
shopping,Birmingham,Redemptive Cycles,$,5.0,10,AL
shopping,Pelham,Cahaba Cycles,$$,4.0,10,AL
shopping,Birmingham,Ala Goodwill Industries,$,3.5,10,AL
shopping,Birmingham,Schaeffer Eye Center,$$$,2.5,10,AL
shopping,Birmingham,Bath & Body Works,$$,4.5,10,AL
shopping,Vestavia Hills,Publix,$$,3.5,10,AL
shopping,Alabaster,Walmart Supercenter,$,3.0,10,AL
shopping,Birmingham,Soca Clothing,$$$,4.0,10,AL
shopping,Birmingham,Barnes & Noble,$$,4.0,10,AL
shopping,Birmingham,Bridal Bliss,$$,4.5,10,AL
shopping,Helena,Publix Super Markets,$$,4.5,9,AL
shopping,Birmingham,Homewood Toy & Hobby Shop,$$,4.0,9,AL
shopping,Birmingham,CVS Pharmacy,$,3.0,9,AL
shopping,Hoover,At Home,$$,3.0,9,AL
shopping,Birmingham,Belk,$$,2.5,9,AL
shopping,Birmingham,Warby Parker,$$,4.5,9,AL
shopping,Hoover,Belicoso Cigars,$$,4.5,9,AL
shopping,Irondale,Southeastern Salvage,$$$,4.0,9,AL
shopping,Birmingham,Bargain Hunt,$,4.0,9,AL
shopping,Fultondale,Target,$$,4.0,9,AL
shopping,Gardendale,America's Thrift Store,$,2.5,9,AL
shopping,Birmingham,At Home Furnishings,$$$,3.0,9,AL
shopping,Bessemer,Bessemer Flea Market,$,3.0,9,AL
shopping,Birmingham,Highland Music,$$,4.0,9,AL
shopping,Hoover,Walmart Neighborhood Market,$$,3.5,9,AL
shopping,Homewood,Homewood Antiques and Marketplace,$$,4.0,9,AL
shopping,Pelham,The Home Depot,$$,4.0,9,AL
shopping,Birmingham,Louis Vuitton Birmingham Saks,$$$$,3.0,9,AL
shopping,Birmingham,Zoe's In Forest Park,$$,4.5,9,AL
shopping,Birmingham,Books-A-Million,$$,3.0,9,AL
shopping,Birmingham,Sears,$$,2.0,9,AL
shopping,Birmingham,Smoothie King,$$,4.0,9,AL
shopping,Hoover,Bike Link Of Hoover,$$$,4.5,9,AL
shopping,Fultondale,Ashley HomeStore,$$,1.5,9,AL
shopping,Gardendale,Walmart Supercenter,$$,2.5,9,AL
shopping,Alabaster,Lowe's Home Improvement,$$,3.5,8,AL
shopping,Birmingham,Murphree's Market & Garden Center,$$,4.0,8,AL
shopping,Hoover,Sprint Store,$$$,3.0,8,AL
shopping,Birmingham,Schaeffer Eye Center,$$,4.0,8,AL
shopping,Homewood,America's Best Contacts & Eyeglasses,$$,2.0,8,AL
shopping,Birmingham,Books-A-Million,$$,3.5,8,AL
shopping,Birmingham,Briary The,$$,5.0,8,AL
shopping,Birmingham,Kohl's Inverness,$$,3.5,8,AL
shopping,Brookwood,Sissy's Florist,$$,1.5,8,AL
shopping,Birmingham,Party City,$$,2.0,8,AL
shopping,Birmingham,Charlie Thigpen's Garden Gallery,$$,5.0,8,AL
shopping,Hoover,JCPenney,$$,4.0,8,AL
shopping,Birmingham,T J Maxx,$$,3.5,8,AL
